"pops","temps","wps","date","total_seeds","germ","start_date","census_date","day","cumulative_germ","cumulative_prop_germ"
"CAAM",5,-0.6,"June_6_2020",50,0,2020-06-05,2020-06-06,1,0,0
"CAAM",5,-0.6,"June_7_2020",50,0,2020-06-05,2020-06-07,2,0,0
"CAAM",5,-0.6,"June_8_2020",50,0,2020-06-05,2020-06-08,3,0,0
"CAAM",5,-0.6,"June_9_2020",50,0,2020-06-05,2020-06-09,4,0,0
"CAAM",5,-0.6,"June_10_2020",50,0,2020-06-05,2020-06-10,5,0,0
"CAAM",5,-0.6,"June_11_2020",50,0,2020-06-05,2020-06-11,6,0,0
"CAAM",5,-0.6,"June_12_2020",50,0,2020-06-05,2020-06-12,7,0,0
"CAAM",5,-0.6,"June_13_2020",50,0,2020-06-05,2020-06-13,8,0,0
"CAAM",5,-0.6,"June_14_2020",50,0,2020-06-05,2020-06-14,9,0,0
"CAAM",5,-0.6,"June_15_2020",50,0,2020-06-05,2020-06-15,10,0,0
"CAAM",5,-0.6,"June_16_2020",50,0,2020-06-05,2020-06-16,11,0,0
"CAAM",5,-0.6,"June_17_2020",50,0,2020-06-05,2020-06-17,12,0,0
"CAAM",5,-0.6,"June_18_2020",50,0,2020-06-05,2020-06-18,13,0,0
"CAAM",5,-0.6,"June_19_2020",50,0,2020-06-05,2020-06-19,14,0,0
"CAAM",5,-0.6,"June_22_2020",50,0,2020-06-05,2020-06-22,17,0,0
"CAAM",5,-0.6,"June_24_2020",50,0,2020-06-05,2020-06-24,19,0,0
"CAAM",5,-0.6,"June_26_2020",50,0,2020-06-05,2020-06-26,21,0,0
"CAAM",5,-0.6,"June_29_2020",50,0,2020-06-05,2020-06-29,24,0,0
"CAAM",5,-0.6,"July_1_2020",50,0,2020-06-05,2020-07-01,26,0,0
"CAAM",5,-0.6,"July_3_2020",50,0,2020-06-05,2020-07-03,28,0,0
"CAAM",5,-0.3,"June_6_2020",50,0,2020-06-05,2020-06-06,1,0,0
"CAAM",5,-0.3,"June_7_2020",50,0,2020-06-05,2020-06-07,2,0,0
"CAAM",5,-0.3,"June_8_2020",50,0,2020-06-05,2020-06-08,3,0,0
"CAAM",5,-0.3,"June_9_2020",50,0,2020-06-05,2020-06-09,4,0,0
"CAAM",5,-0.3,"June_10_2020",50,0,2020-06-05,2020-06-10,5,0,0
"CAAM",5,-0.3,"June_11_2020",50,0,2020-06-05,2020-06-11,6,0,0
"CAAM",5,-0.3,"June_12_2020",50,0,2020-06-05,2020-06-12,7,0,0
"CAAM",5,-0.3,"June_13_2020",50,0,2020-06-05,2020-06-13,8,0,0
"CAAM",5,-0.3,"June_14_2020",50,0,2020-06-05,2020-06-14,9,0,0
"CAAM",5,-0.3,"June_15_2020",50,0,2020-06-05,2020-06-15,10,0,0
"CAAM",5,-0.3,"June_16_2020",50,0,2020-06-05,2020-06-16,11,0,0
"CAAM",5,-0.3,"June_17_2020",50,0,2020-06-05,2020-06-17,12,0,0
"CAAM",5,-0.3,"June_18_2020",50,0,2020-06-05,2020-06-18,13,0,0
"CAAM",5,-0.3,"June_19_2020",50,0,2020-06-05,2020-06-19,14,0,0
"CAAM",5,-0.3,"June_22_2020",50,0,2020-06-05,2020-06-22,17,0,0
"CAAM",5,-0.3,"June_24_2020",50,0,2020-06-05,2020-06-24,19,0,0
"CAAM",5,-0.3,"June_26_2020",50,0,2020-06-05,2020-06-26,21,0,0
"CAAM",5,-0.3,"June_29_2020",50,0,2020-06-05,2020-06-29,24,0,0
"CAAM",5,-0.3,"July_1_2020",50,0,2020-06-05,2020-07-01,26,0,0
"CAAM",5,-0.3,"July_3_2020",50,0,2020-06-05,2020-07-03,28,0,0
"CAAM",5,0,"June_6_2020",50,0,2020-06-05,2020-06-06,1,0,0
"CAAM",5,0,"June_7_2020",50,0,2020-06-05,2020-06-07,2,0,0
"CAAM",5,0,"June_8_2020",50,0,2020-06-05,2020-06-08,3,0,0
"CAAM",5,0,"June_9_2020",50,0,2020-06-05,2020-06-09,4,0,0
"CAAM",5,0,"June_10_2020",50,0,2020-06-05,2020-06-10,5,0,0
"CAAM",5,0,"June_11_2020",50,0,2020-06-05,2020-06-11,6,0,0
"CAAM",5,0,"June_12_2020",50,0,2020-06-05,2020-06-12,7,0,0
"CAAM",5,0,"June_13_2020",50,0,2020-06-05,2020-06-13,8,0,0
"CAAM",5,0,"June_14_2020",50,0,2020-06-05,2020-06-14,9,0,0
